DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/31/1995,-0.10%,-1.06%,1.58%,1.49%,-0.98%,1.48%,1.34%,0.60%,5.22%,0.55%,-0.05%,0.05%,2.60%,5.08%,,-1.01%,-5.34%,-2.38%,3.45%,4.37%,11.48%,3.70%,-0.80%,1.59%,-0.56%,-2.14%,0.17%,1.59%,-4.28%
08/31/1995,9.04%,-1.98%,0.20%,4.94%,-3.81%,-8.38%,-0.40%,-2.42%,6.67%,-1.33%,3.42%,1.09%,-1.27%,1.50%,,-0.33%,-4.58%,3.66%,4.72%,-1.02%,-1.69%,2.97%,1.85%,3.44%,0.44%,-1.72%,-0.07%,3.51%,-3.51%
09/30/1995,2.93%,0.61%,7.88%,1.25%,-0.12%,4.24%,-2.38%,-2.21%,0.37%,4.62%,1.94%,18.03%,1.15%,-3.18%,,3.64%,0.34%,7.29%,4.42%,-4.67%,-0.81%,3.77%,2.85%,3.20%,2.31%,1.64%,2.98%,3.10%,0.59%
10/31/1995,0.81%,4.39%,1.27%,-0.12%,0.10%,5.51%,-1.10%,2.96%,3.64%,-3.64%,-2.01%,10.36%,-5.94%,4.09%,,4.15%,-0.95%,1.34%,-2.06%,-1.05%,-1.71%,-0.68%,3.28%,-0.39%,-0.47%,-0.53%,0.18%,-0.38%,-1.14%
11/30/1995,-1.75%,-0.63%,0.66%,-1.47%,-1.47%,0.10%,-3.40%,-4.76%,-1.57%,-5.82%,-1.66%,6.63%,0.10%,-5.93%,,2.82%,-1.89%,-4.12%,5.75%,7.14%,-6.87%,-5.44%,-4.00%,-1.05%,-1.54%,-1.92%,-2.07%,-1.06%,-1.83%
12/31/1995,-0.08%,-5.44%,-2.02%,2.70%,3.21%,0.20%,4.13%,-1.83%,5.10%,1.04%,-1.06%,1.51%,-0.68%,-6.55%,,-4.87%,2.71%,-1.26%,0.23%,-0.32%,5.07%,-4.37%,-0.47%,2.25%,1.58%,1.04%,-0.40%,2.27%,2.11%
01/31/1996,8.11%,-1.66%,5.72%,-1.25%,-2.35%,-5.70%,-11.02%,-3.52%,1.64%,-1.14%,-1.40%,13.33%,-4.29%,1.78%,,-4.13%,-0.64%,3.23%,-0.93%,8.22%,-11.40%,1.40%,-4.30%,4.40%,1.34%,-1.04%,-1.89%,4.14%,-0.33%
02/29/1996,3.74%,3.08%,-1.72%,3.61%,1.39%,3.18%,1.15%,-1.06%,6.46%,4.18%,5.75%,-3.39%,2.04%,0.91%,,4.12%,0.69%,1.35%,9.78%,-1.90%,2.38%,4.43%,-5.51%,0.82%,1.60%,2.21%,3.51%,0.95%,1.05%
03/31/1996,2.93%,-2.04%,2.47%,-0.41%,-0.45%,-3.01%,2.51%,-0.86%,-6.96%,2.50%,1.49%,-8.95%,0.95%,0.55%,,5.62%,-2.93%,-0.58%,-6.97%,0.87%,-0.82%,1.25%,3.27%,2.59%,0.67%,-0.88%,0.65%,2.45%,-2.21%
04/30/1996,5.73%,-1.35%,0.09%,2.11%,-1.10%,1.47%,0.31%,-1.01%,-4.97%,-0.38%,5.22%,-0.14%,-2.65%,1.04%,,-6.78%,9.10%,-1.78%,-4.46%,-0.13%,16.23%,1.00%,0.59%,0.08%,2.69%,4.79%,1.42%,0.17%,7.83%
05/31/1996,14.46%,-3.60%,5.57%,0.62%,-6.73%,-4.94%,1.35%,-0.42%,13.81%,2.80%,4.45%,1.71%,1.60%,9.00%,,-1.93%,-1.07%,1.94%,-1.28%,-5.99%,1.14%,0.21%,5.14%,3.72%,1.93%,0.51%,1.35%,3.58%,-0.17%
06/30/1996,-0.96%,2.16%,3.64%,3.64%,22.99%,1.04%,-3.22%,3.33%,8.98%,-0.37%,2.49%,3.53%,-1.03%,7.45%,,3.52%,-0.43%,0.83%,4.93%,0.80%,9.53%,-0.77%,3.90%,3.41%,2.32%,1.42%,3.48%,3.42%,-0.50%
07/31/1996,0.19%,6.69%,2.57%,0.27%,4.70%,1.39%,-0.32%,1.73%,0.62%,0.08%,-2.48%,3.24%,3.53%,7.35%,,3.59%,2.22%,7.10%,13.72%,5.89%,3.75%,-0.77%,2.68%,-0.15%,0.77%,1.52%,0.94%,-0.13%,2.11%
08/31/1996,1.85%,1.31%,-0.64%,-0.55%,-6.47%,-3.11%,4.00%,0.05%,3.81%,-0.83%,2.07%,-6.56%,0.56%,-7.91%,,3.17%,-2.69%,7.54%,0.98%,6.49%,-2.66%,-0.79%,-0.94%,1.09%,-0.02%,-0.90%,0.50%,1.01%,-2.15%
09/30/1996,1.50%,-3.33%,-4.78%,1.48%,-3.12%,-0.28%,-5.69%,-1.13%,-0.92%,-4.87%,0.68%,-3.59%,7.47%,-2.68%,,0.97%,-2.62%,-1.00%,-0.72%,7.68%,1.47%,-0.04%,3.04%,1.31%,-0.03%,-1.14%,-0.90%,1.32%,-1.57%
10/31/1996,5.63%,-0.17%,0.80%,4.93%,6.19%,-0.17%,6.67%,5.86%,7.22%,0.69%,1.81%,-4.10%,8.99%,-2.25%,,4.13%,-1.26%,5.68%,3.23%,0.96%,9.75%,-0.96%,7.07%,3.27%,2.21%,1.32%,2.61%,3.35%,-0.16%
11/30/1996,5.98%,-2.10%,-6.24%,3.66%,-3.95%,-2.36%,-2.84%,-2.75%,-0.50%,-3.34%,2.52%,-0.47%,4.02%,-4.75%,,-11.25%,-0.55%,-1.93%,6.09%,6.93%,1.95%,-0.42%,4.03%,0.90%,0.32%,-0.18%,-0.96%,1.04%,0.23%
12/31/1996,-2.34%,-0.36%,-0.35%,0.82%,0.81%,0.65%,-4.42%,7.54%,4.65%,3.25%,-2.54%,-4.76%,-3.97%,-7.27%,,1.77%,-1.14%,-0.34%,2.18%,-1.02%,-2.03%,-0.21%,3.40%,2.45%,0.84%,-0.59%,0.06%,2.37%,-1.41%
01/31/1997,2.72%,-8.30%,-0.26%,3.92%,-0.75%,-6.08%,-0.66%,-1.11%,1.73%,-2.17%,2.49%,-1.94%,0.74%,9.83%,,-7.18%,-5.22%,1.60%,11.72%,5.72%,-6.81%,-1.80%,1.49%,3.95%,0.91%,-1.79%,-0.37%,3.95%,-3.97%
02/28/1997,6.18%,-6.63%,-2.50%,-2.03%,-1.03%,-4.15%,-1.14%,0.58%,0.43%,4.78%,3.23%,-12.04%,5.45%,8.55%,,4.15%,-0.90%,1.21%,-2.85%,4.43%,6.53%,0.48%,-2.94%,5.87%,3.24%,0.69%,1.28%,5.47%,0.29%
